Year,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Value
2018,ILLINOIS,17,WEST,30,ADAMS,1,149000.00
2018,ILLINOIS,17,SOUTHWEST,80,ALEXANDER,3,6900.00
2018,ILLINOIS,17,NORTHEAST,20,BOONE,7,72300.00
2018,ILLINOIS,17,WEST,30,BROWN,9,35100.00
2018,ILLINOIS,17,NORTHWEST,10,BUREAU,11,264000.00
2018,ILLINOIS,17,NORTHWEST,10,CARROLL,15,134000.00
2018,ILLINOIS,17,WEST SOUTHWEST,60,CASS,17,82500.00
2018,ILLINOIS,17,EAST,50,CHAMPAIGN,19,276000.00
2018,ILLINOIS,17,WEST SOUTHWEST,60,CHRISTIAN,21,181000.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,CLARK,23,92400.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,CLAY,25,67500.00
2018,ILLINOIS,17,SOUTHWEST,80,CLINTON,27,95900.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,COLES,29,115000.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,CRAWFORD,33,80900.00
2018,ILLINOIS,17,NORTHEAST,20,DE KALB,37,204000.00
2018,ILLINOIS,17,CENTRAL,40,DE WITT,39,102000.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,DOUGLAS,41,109500.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,EDGAR,45,159000.00
2018,ILLINOIS,17,SOUTHEAST,90,EDWARDS,47,41600.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,EFFINGHAM,49,81900.00
2018,ILLINOIS,17,EAST,50,FORD,53,142500.00
2018,ILLINOIS,17,SOUTHEAST,90,FRANKLIN,55,27800.00
2018,ILLINOIS,17,WEST,30,FULTON,57,135000.00
2018,ILLINOIS,17,SOUTHEAST,90,GALLATIN,59,55600.00
2018,ILLINOIS,17,WEST SOUTHWEST,60,GREENE,61,109500.00
2018,ILLINOIS,17,NORTHEAST,20,GRUNDY,63,100500.00
2018,ILLINOIS,17,SOUTHEAST,90,HAMILTON,65,69200.00
2018,ILLINOIS,17,WEST,30,HANCOCK,67,172000.00
2018,ILLINOIS,17,WEST,30,HENDERSON,71,93500.00
2018,ILLINOIS,17,NORTHWEST,10,HENRY,73,226500.00
2018,ILLINOIS,17,EAST,50,IROQUOIS,75,316000.00
2018,ILLINOIS,17,SOUTHWEST,80,JACKSON,77,26400.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,JASPER,79,95800.00
2018,ILLINOIS,17,SOUTHEAST,90,JEFFERSON,81,41700.00
2018,ILLINOIS,17,NORTHWEST,10,JO DAVIESS,85,98500.00
2018,ILLINOIS,17,NORTHEAST,20,KANE,89,75100.00
2018,ILLINOIS,17,EAST,50,KANKAKEE,91,179000.00
2018,ILLINOIS,17,NORTHEAST,20,KENDALL,93,74100.00
2018,ILLINOIS,17,WEST,30,KNOX,95,159000.00
2018,ILLINOIS,17,NORTHEAST,20,LA SALLE,99,282000.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,LAWRENCE,101,71000.00
2018,ILLINOIS,17,NORTHWEST,10,LEE,103,236500.00
