Year,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Value
2018,ILLINOIS,17,WEST,30,ADAMS,1,"142,000"
2018,ILLINOIS,17,WEST SOUTHWEST,60,BOND,5,"88,000"
2018,ILLINOIS,17,NORTHEAST,20,BOONE,7,"50,000"
2018,ILLINOIS,17,WEST,30,BROWN,9,"37,000"
2018,ILLINOIS,17,NORTHWEST,10,BUREAU,11,"157,000"
2018,ILLINOIS,17,WEST SOUTHWEST,60,CALHOUN,13,"27,000"
2018,ILLINOIS,17,NORTHWEST,10,CARROLL,15,"44,000"
2018,ILLINOIS,17,WEST SOUTHWEST,60,CASS,17,"61,000"
2018,ILLINOIS,17,EAST,50,CHAMPAIGN,19,"257,000"
2018,ILLINOIS,17,WEST SOUTHWEST,60,CHRISTIAN,21,"191,000"
2018,ILLINOIS,17,EAST SOUTHEAST,70,CLARK,23,"99,000"
2018,ILLINOIS,17,EAST SOUTHEAST,70,CLAY,25,"117,000"
2018,ILLINOIS,17,SOUTHWEST,80,CLINTON,27,"109,000"
2018,ILLINOIS,17,EAST SOUTHEAST,70,COLES,29,"121,000"
2018,ILLINOIS,17,EAST SOUTHEAST,70,CRAWFORD,33,"97,000"
2018,ILLINOIS,17,EAST SOUTHEAST,70,CUMBERLAND,35,"80,000"
2018,ILLINOIS,17,NORTHEAST,20,DE KALB,37,"118,000"
2018,ILLINOIS,17,CENTRAL,40,DE WITT,39,"102,000"
2018,ILLINOIS,17,EAST SOUTHEAST,70,DOUGLAS,41,"115,000"
2018,ILLINOIS,17,EAST SOUTHEAST,70,EDGAR,45,"165,000"
2018,ILLINOIS,17,SOUTHEAST,90,EDWARDS,47,"52,000"
2018,ILLINOIS,17,EAST SOUTHEAST,70,EFFINGHAM,49,"101,000"
2018,ILLINOIS,17,EAST SOUTHEAST,70,FAYETTE,51,"156,000"
2018,ILLINOIS,17,EAST,50,FORD,53,"134,000"
2018,ILLINOIS,17,SOUTHEAST,90,FRANKLIN,55,"88,000"
2018,ILLINOIS,17,WEST,30,FULTON,57,"128,000"
2018,ILLINOIS,17,SOUTHEAST,90,GALLATIN,59,"79,000"
2018,ILLINOIS,17,WEST SOUTHWEST,60,GREENE,61,"107,000"
2018,ILLINOIS,17,NORTHEAST,20,GRUNDY,63,"93,000"
2018,ILLINOIS,17,SOUTHEAST,90,HAMILTON,65,"99,000"
2018,ILLINOIS,17,WEST,30,HANCOCK,67,"151,000"
2018,ILLINOIS,17,SOUTHEAST,90,HARDIN,69,"6,000"
2018,ILLINOIS,17,WEST,30,HENDERSON,71,"59,000"
2018,ILLINOIS,17,NORTHWEST,10,HENRY,73,"174,000"
2018,ILLINOIS,17,EAST,50,IROQUOIS,75,"297,000"
2018,ILLINOIS,17,SOUTHWEST,80,JACKSON,77,"96,000"
2018,ILLINOIS,17,EAST SOUTHEAST,70,JASPER,79,"127,000"
2018,ILLINOIS,17,SOUTHEAST,90,JEFFERSON,81,"110,000"
2018,ILLINOIS,17,NORTHEAST,20,KANE,89,"59,000"
2018,ILLINOIS,17,EAST,50,KANKAKEE,91,"141,000"
2018,ILLINOIS,17,NORTHEAST,20,KENDALL,93,"61,000"
2018,ILLINOIS,17,WEST,30,KNOX,95,"128,000"
2018,ILLINOIS,17,NORTHEAST,20,LAKE,97,"9,000"
2018,ILLINOIS,17,NORTHEAST,20,LA SALLE,99,"258,000"
2018,ILLINOIS,17,EAST SOUTHEAST,70,LAWRENCE,101,"91,000"
2018,ILLINOIS,17,NORTHWEST,10,LEE,103,"136,000"
2018,ILLINOIS,17,EAST,50,LIVINGSTON,105,"284,000"
2018,ILLINOIS,17,CENTRAL,40,LOGAN,107,"156,000"
2018,ILLINOIS,17,WEST,30,MCDONOUGH,109,"123,000"
2018,ILLINOIS,17,NORTHEAST,20,MCHENRY,111,"64,000"
2018,ILLINOIS,17,CENTRAL,40,MCLEAN,113,"312,000"
2018,ILLINOIS,17,CENTRAL,40,MACON,115,"133,000"
2018,ILLINOIS,17,WEST SOUTHWEST,60,MACOUPIN,117,"176,000"
2018,ILLINOIS,17,WEST SOUTHWEST,60,MADISON,119,"122,000"
2018,ILLINOIS,17,EAST SOUTHEAST,70,MARION,121,"120,000"
2018,ILLINOIS,17,CENTRAL,40,MARSHALL,123,"83,000"
2018,ILLINOIS,17,CENTRAL,40,MENARD,129,"71,000"
2018,ILLINOIS,17,NORTHWEST,10,MERCER,131,"105,000"
2018,ILLINOIS,17,SOUTHWEST,80,MONROE,133,"84,000"
2018,ILLINOIS,17,WEST SOUTHWEST,60,MONTGOMERY,135,"161,000"
2018,ILLINOIS,17,WEST SOUTHWEST,60,MORGAN,137,"126,000"
2018,ILLINOIS,17,EAST SOUTHEAST,70,MOULTRIE,139,"83,000"
2018,ILLINOIS,17,NORTHWEST,10,OGLE,141,"116,000"
2018,ILLINOIS,17,CENTRAL,40,PEORIA,143,"88,000"
2018,ILLINOIS,17,SOUTHWEST,80,PERRY,145,"97,000"
2018,ILLINOIS,17,EAST,50,PIATT,147,"128,000"
2018,ILLINOIS,17,WEST SOUTHWEST,60,PIKE,149,"130,000"
2018,ILLINOIS,17,SOUTHWEST,80,PULASKI,153,"47,000"
2018,ILLINOIS,17,SOUTHWEST,80,RANDOLPH,157,"118,000"
2018,ILLINOIS,17,EAST SOUTHEAST,70,RICHLAND,159,"90,000"
2018,ILLINOIS,17,NORTHWEST,10,ROCK ISLAND,161,"51,000"
2018,ILLINOIS,17,SOUTHWEST,80,ST CLAIR,163,"113,000"
2018,ILLINOIS,17,SOUTHEAST,90,SALINE,165,"67,000"
2018,ILLINOIS,17,WEST SOUTHWEST,60,SANGAMON,167,"192,000"
2018,ILLINOIS,17,WEST,30,SCHUYLER,169,"59,000"
2018,ILLINOIS,17,EAST SOUTHEAST,70,SHELBY,173,"178,000"
