Year,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Value
2018,ILLINOIS,17,WEST,30,ADAMS,1,32000.00
2018,ILLINOIS,17,SOUTHWEST,80,ALEXANDER,3,32000.00
2018,ILLINOIS,17,NORTHEAST,20,BOONE,7,32000.00
2018,ILLINOIS,17,WEST,30,BROWN,9,32000.00
2018,ILLINOIS,17,NORTHWEST,10,BUREAU,11,32000.00
2018,ILLINOIS,17,NORTHWEST,10,CARROLL,15,32000.00
2018,ILLINOIS,17,WEST SOUTHWEST,60,CASS,17,32000.00
2018,ILLINOIS,17,EAST,50,CHAMPAIGN,19,32000.00
2018,ILLINOIS,17,WEST SOUTHWEST,60,CHRISTIAN,21,32000.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,CLARK,23,32000.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,CLAY,25,32000.00
2018,ILLINOIS,17,SOUTHWEST,80,CLINTON,27,32000.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,COLES,29,32000.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,CRAWFORD,33,32000.00
2018,ILLINOIS,17,NORTHEAST,20,DE KALB,37,32000.00
2018,ILLINOIS,17,CENTRAL,40,DE WITT,39,32000.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,DOUGLAS,41,32000.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,EDGAR,45,32000.00
2018,ILLINOIS,17,SOUTHEAST,90,EDWARDS,47,32000.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,EFFINGHAM,49,32000.00
2018,ILLINOIS,17,EAST,50,FORD,53,32000.00
2018,ILLINOIS,17,SOUTHEAST,90,FRANKLIN,55,32000.00
2018,ILLINOIS,17,WEST,30,FULTON,57,32000.00
2018,ILLINOIS,17,SOUTHEAST,90,GALLATIN,59,32000.00
2018,ILLINOIS,17,WEST SOUTHWEST,60,GREENE,61,32000.00
2018,ILLINOIS,17,NORTHEAST,20,GRUNDY,63,32000.00
2018,ILLINOIS,17,SOUTHEAST,90,HAMILTON,65,32000.00
2018,ILLINOIS,17,WEST,30,HANCOCK,67,32000.00
2018,ILLINOIS,17,WEST,30,HENDERSON,71,32000.00
2018,ILLINOIS,17,NORTHWEST,10,HENRY,73,32000.00
2018,ILLINOIS,17,EAST,50,IROQUOIS,75,32000.00
2018,ILLINOIS,17,SOUTHWEST,80,JACKSON,77,32000.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,JASPER,79,32000.00
2018,ILLINOIS,17,SOUTHEAST,90,JEFFERSON,81,32000.00
2018,ILLINOIS,17,NORTHWEST,10,JO DAVIESS,85,32000.00
2018,ILLINOIS,17,NORTHEAST,20,KANE,89,32000.00
2018,ILLINOIS,17,EAST,50,KANKAKEE,91,32000.00
2018,ILLINOIS,17,NORTHEAST,20,KENDALL,93,32000.00
2018,ILLINOIS,17,WEST,30,KNOX,95,32000.00
2018,ILLINOIS,17,NORTHEAST,20,LA SALLE,99,32000.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,LAWRENCE,101,32000.00
2018,ILLINOIS,17,NORTHWEST,10,LEE,103,32000.00
2018,ILLINOIS,17,EAST,50,LIVINGSTON,105,32000.00
2018,ILLINOIS,17,CENTRAL,40,LOGAN,107,32000.00
2018,ILLINOIS,17,WEST,30,MCDONOUGH,109,32000.00
2018,ILLINOIS,17,NORTHEAST,20,MCHENRY,111,32000.00
2018,ILLINOIS,17,CENTRAL,40,MCLEAN,113,32000.00
2018,ILLINOIS,17,CENTRAL,40,MACON,115,32000.00
2018,ILLINOIS,17,WEST SOUTHWEST,60,MACOUPIN,117,32000.00
2018,ILLINOIS,17,WEST SOUTHWEST,60,MADISON,119,32000.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,MARION,121,32000.00
2018,ILLINOIS,17,CENTRAL,40,MARSHALL,123,32000.00
2018,ILLINOIS,17,NORTHWEST,10,MERCER,131,32000.00
2018,ILLINOIS,17,SOUTHWEST,80,MONROE,133,32000.00
