Year,Period(0),State ANSI,Value
2019,YEAR,17,180
2019,YEAR,18,161
2019,YEAR,19,191
2019,YEAR - AUG FORECAST,17,181
2019,YEAR - AUG FORECAST,18,166
2019,YEAR - AUG FORECAST,19,191
2019,YEAR - SEP FORECAST,17,180
2019,YEAR - SEP FORECAST,18,161
2019,YEAR - SEP FORECAST,19,191
2018,YEAR,17,210
2018,YEAR,18,189
2018,YEAR,19,196
2018,YEAR - AUG FORECAST,17,207
2018,YEAR - AUG FORECAST,18,186
2018,YEAR - AUG FORECAST,19,202
2018,YEAR - NOV FORECAST,17,210
2018,YEAR - NOV FORECAST,18,194
2018,YEAR - NOV FORECAST,19,198
2018,YEAR - OCT FORECAST,17,212
2018,YEAR - OCT FORECAST,18,194
2018,YEAR - OCT FORECAST,19,204
2018,YEAR - SEP FORECAST,17,214
2018,YEAR - SEP FORECAST,18,192
2018,YEAR - SEP FORECAST,19,206
2017,YEAR,17,201
2017,YEAR,18,180
2017,YEAR,19,202
2017,YEAR - AUG FORECAST,17,188
2017,YEAR - AUG FORECAST,18,173
2017,YEAR - AUG FORECAST,19,188
2017,YEAR - NOV FORECAST,17,198
2017,YEAR - NOV FORECAST,18,181
2017,YEAR - NOV FORECAST,19,197
2017,YEAR - OCT FORECAST,17,192
2017,YEAR - OCT FORECAST,18,173
2017,YEAR - OCT FORECAST,19,191
2017,YEAR - SEP FORECAST,17,189
2017,YEAR - SEP FORECAST,18,171
2017,YEAR - SEP FORECAST,19,187
2016,YEAR,17,197
2016,YEAR,18,173
2016,YEAR,19,203
2016,YEAR - AUG FORECAST,17,200
2016,YEAR - AUG FORECAST,18,187
2016,YEAR - AUG FORECAST,19,197
2016,YEAR - NOV FORECAST,17,202
2016,YEAR - NOV FORECAST,18,177
2016,YEAR - NOV FORECAST,19,199
2016,YEAR - OCT FORECAST,17,202
2016,YEAR - OCT FORECAST,18,177
2016,YEAR - OCT FORECAST,19,198
2016,YEAR - SEP FORECAST,17,200
2016,YEAR - SEP FORECAST,18,185
2016,YEAR - SEP FORECAST,19,196
2015,YEAR,17,175
2015,YEAR,18,150
2015,YEAR,19,192
2015,YEAR - AUG FORECAST,17,172
2015,YEAR - AUG FORECAST,18,158
2015,YEAR - AUG FORECAST,19,183
2015,YEAR - NOV FORECAST,17,168
2015,YEAR - NOV FORECAST,18,156
2015,YEAR - NOV FORECAST,19,189
2015,YEAR - OCT FORECAST,17,170
2015,YEAR - OCT FORECAST,18,156
2015,YEAR - OCT FORECAST,19,183
2015,YEAR - SEP FORECAST,17,173
2015,YEAR - SEP FORECAST,18,156
2015,YEAR - SEP FORECAST,19,181
2014,YEAR,17,200
2014,YEAR,18,188
2014,YEAR,19,178
2014,YEAR - AUG FORECAST,17,188
2014,YEAR - AUG FORECAST,18,179
2014,YEAR - AUG FORECAST,19,185
2014,YEAR - NOV FORECAST,17,200
2014,YEAR - NOV FORECAST,18,186
2014,YEAR - NOV FORECAST,19,183
2014,YEAR - OCT FORECAST,17,200
2014,YEAR - OCT FORECAST,18,186
2014,YEAR - OCT FORECAST,19,185
2014,YEAR - SEP FORECAST,17,194
2014,YEAR - SEP FORECAST,18,184
2014,YEAR - SEP FORECAST,19,185
2013,YEAR,17,178
2013,YEAR,18,177
2013,YEAR,19,164
2013,YEAR - AUG FORECAST,17,165
