Year,Period,State ANSI,Value
2019,YEAR,17,53
2019,YEAR,18,49
2019,YEAR,19,54
2019,YEAR - AUG FORECAST,17,55
2019,YEAR - AUG FORECAST,18,50
2019,YEAR - AUG FORECAST,19,55
2019,YEAR - SEP FORECAST,17,53
2019,YEAR - SEP FORECAST,18,49
2019,YEAR - SEP FORECAST,19,54
2018,YEAR,17,63.5
2018,YEAR,18,57.5
2018,YEAR,19,56
2018,YEAR - AUG FORECAST,17,64
2018,YEAR - AUG FORECAST,18,58
2018,YEAR - AUG FORECAST,19,59
2018,YEAR - NOV FORECAST,17,64
2018,YEAR - NOV FORECAST,18,60
2018,YEAR - NOV FORECAST,19,58
2018,YEAR - OCT FORECAST,17,66
2018,YEAR - OCT FORECAST,18,60
2018,YEAR - OCT FORECAST,19,61
2018,YEAR - SEP FORECAST,17,66
2018,YEAR - SEP FORECAST,18,60
2018,YEAR - SEP FORECAST,19,60
2017,YEAR,17,58
2017,YEAR,18,54
2017,YEAR,19,57
2017,YEAR - AUG FORECAST,17,58
2017,YEAR - AUG FORECAST,18,55
2017,YEAR - AUG FORECAST,19,56
2017,YEAR - NOV FORECAST,17,58
2017,YEAR - NOV FORECAST,18,55
2017,YEAR - NOV FORECAST,19,56
2017,YEAR - OCT FORECAST,17,57
2017,YEAR - OCT FORECAST,18,55
2017,YEAR - OCT FORECAST,19,56
2017,YEAR - SEP FORECAST,17,58
2017,YEAR - SEP FORECAST,18,56
2017,YEAR - SEP FORECAST,19,57
2016,YEAR,17,59
2016,YEAR,18,57.5
2016,YEAR,19,60
2016,YEAR - AUG FORECAST,17,57
2016,YEAR - AUG FORECAST,18,55
2016,YEAR - AUG FORECAST,19,57
2016,YEAR - NOV FORECAST,17,62
2016,YEAR - NOV FORECAST,18,59
2016,YEAR - NOV FORECAST,19,59
2016,YEAR - OCT FORECAST,17,62
2016,YEAR - OCT FORECAST,18,59
2016,YEAR - OCT FORECAST,19,58
2016,YEAR - SEP FORECAST,17,61
2016,YEAR - SEP FORECAST,18,58
2016,YEAR - SEP FORECAST,19,58
2015,YEAR,17,56
2015,YEAR,18,50
2015,YEAR,19,56.5
2015,YEAR - AUG FORECAST,17,53
2015,YEAR - AUG FORECAST,18,49
2015,YEAR - AUG FORECAST,19,52
2015,YEAR - NOV FORECAST,17,56
2015,YEAR - NOV FORECAST,18,51
2015,YEAR - NOV FORECAST,19,56
2015,YEAR - OCT FORECAST,17,54
2015,YEAR - OCT FORECAST,18,51
2015,YEAR - OCT FORECAST,19,53
2015,YEAR - SEP FORECAST,17,54
2015,YEAR - SEP FORECAST,18,50
2015,YEAR - SEP FORECAST,19,53
2014,YEAR,17,56
2014,YEAR,18,55.5
2014,YEAR,19,51
2014,YEAR - AUG FORECAST,17,54
2014,YEAR - AUG FORECAST,18,51
2014,YEAR - AUG FORECAST,19,50
2014,YEAR - NOV FORECAST,17,56
2014,YEAR - NOV FORECAST,18,54
2014,YEAR - NOV FORECAST,19,52
2014,YEAR - OCT FORECAST,17,56
2014,YEAR - OCT FORECAST,18,54
2014,YEAR - OCT FORECAST,19,51
2014,YEAR - SEP FORECAST,17,56
2014,YEAR - SEP FORECAST,18,52
2014,YEAR - SEP FORECAST,19,51
2013,YEAR,17,50
2013,YEAR,18,51.5
2013,YEAR,19,45.5
2013,YEAR - AUG FORECAST,17,47
2013,YEAR - AUG FORECAST,18,50
2013,YEAR - AUG FORECAST,19,46
2013,YEAR - NOV FORECAST,17,49
2013,YEAR - NOV FORECAST,18,50
2013,YEAR - NOV FORECAST,19,45
2013,YEAR - SEP FORECAST,17,46
2013,YEAR - SEP FORECAST,18,48
2013,YEAR - SEP FORECAST,19,43
2012,YEAR,17,43
2012,YEAR,18,44
2012,YEAR,19,45
2012,YEAR - AUG FORECAST,17,37
2012,YEAR - AUG FORECAST,18,37
2012,YEAR - AUG FORECAST,19,43
2012,YEAR - NOV FORECAST,17,43
2012,YEAR - NOV FORECAST,18,44
2012,YEAR - NOV FORECAST,19,44
2012,YEAR - OCT FORECAST,17,39
2012,YEAR - OCT FORECAST,18,41
2012,YEAR - OCT FORECAST,19,43
2012,YEAR - SEP FORECAST,17,37
2012,YEAR - SEP FORECAST,18,37
2012,YEAR - SEP FORECAST,19,39
2011,YEAR,17,47.5
