Year,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Value
2018,ILLINOIS,17,WEST,30,ADAMS,1,197.8
2018,ILLINOIS,17,SOUTHWEST,80,ALEXANDER,3,188.4
2018,ILLINOIS,17,NORTHEAST,20,BOONE,7,194.1
2018,ILLINOIS,17,WEST,30,BROWN,9,187.9
2018,ILLINOIS,17,NORTHWEST,10,BUREAU,11,214.1
2018,ILLINOIS,17,NORTHWEST,10,CARROLL,15,217.1
2018,ILLINOIS,17,WEST SOUTHWEST,60,CASS,17,223.5
2018,ILLINOIS,17,EAST,50,CHAMPAIGN,19,221.3
2018,ILLINOIS,17,WEST SOUTHWEST,60,CHRISTIAN,21,232.9
2018,ILLINOIS,17,EAST SOUTHEAST,70,CLARK,23,203.5
2018,ILLINOIS,17,EAST SOUTHEAST,70,CLAY,25,189.3
2018,ILLINOIS,17,SOUTHWEST,80,CLINTON,27,184.8
2018,ILLINOIS,17,EAST SOUTHEAST,70,COLES,29,234.3
2018,ILLINOIS,17,EAST SOUTHEAST,70,CRAWFORD,33,194.3
2018,ILLINOIS,17,NORTHEAST,20,DE KALB,37,190.3
2018,ILLINOIS,17,CENTRAL,40,DE WITT,39,225
2018,ILLINOIS,17,EAST SOUTHEAST,70,DOUGLAS,41,246
2018,ILLINOIS,17,EAST SOUTHEAST,70,EDGAR,45,213.1
2018,ILLINOIS,17,SOUTHEAST,90,EDWARDS,47,168.6
2018,ILLINOIS,17,EAST SOUTHEAST,70,EFFINGHAM,49,235.2
2018,ILLINOIS,17,EAST,50,FORD,53,201.7
2018,ILLINOIS,17,SOUTHEAST,90,FRANKLIN,55,155.5
2018,ILLINOIS,17,WEST,30,FULTON,57,218
2018,ILLINOIS,17,SOUTHEAST,90,GALLATIN,59,169.8
2018,ILLINOIS,17,WEST SOUTHWEST,60,GREENE,61,207.2
2018,ILLINOIS,17,NORTHEAST,20,GRUNDY,63,201
2018,ILLINOIS,17,SOUTHEAST,90,HAMILTON,65,163.6
2018,ILLINOIS,17,WEST,30,HANCOCK,67,233.8
2018,ILLINOIS,17,WEST,30,HENDERSON,71,213.3
2018,ILLINOIS,17,NORTHWEST,10,HENRY,73,219.5
2018,ILLINOIS,17,EAST,50,IROQUOIS,75,196
2018,ILLINOIS,17,SOUTHWEST,80,JACKSON,77,162.2
2018,ILLINOIS,17,EAST SOUTHEAST,70,JASPER,79,205.7
2018,ILLINOIS,17,SOUTHEAST,90,JEFFERSON,81,161.2
2018,ILLINOIS,17,NORTHWEST,10,JO DAVIESS,85,209.1
2018,ILLINOIS,17,NORTHEAST,20,KANE,89,189.4
2018,ILLINOIS,17,EAST,50,KANKAKEE,91,181.7
2018,ILLINOIS,17,NORTHEAST,20,KENDALL,93,208
2018,ILLINOIS,17,WEST,30,KNOX,95,226.5
2018,ILLINOIS,17,NORTHEAST,20,LA SALLE,99,215
2018,ILLINOIS,17,EAST SOUTHEAST,70,LAWRENCE,101,166
2018,ILLINOIS,17,NORTHWEST,10,LEE,103,205.9
2018,ILLINOIS,17,EAST,50,LIVINGSTON,105,207.5
2018,ILLINOIS,17,CENTRAL,40,LOGAN,107,236.2
2018,ILLINOIS,17,WEST,30,MCDONOUGH,109,228.9
2018,ILLINOIS,17,NORTHEAST,20,MCHENRY,111,190.8
2018,ILLINOIS,17,CENTRAL,40,MCLEAN,113,229.3
2018,ILLINOIS,17,CENTRAL,40,MACON,115,239.9
2018,ILLINOIS,17,WEST SOUTHWEST,60,MACOUPIN,117,215.3
2018,ILLINOIS,17,WEST SOUTHWEST,60,MADISON,119,197.8
2018,ILLINOIS,17,EAST SOUTHEAST,70,MARION,121,199.2
