Year,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Value
2018,ILLINOIS,17,WEST,30,ADAMS,1,60.7
2018,ILLINOIS,17,WEST SOUTHWEST,60,BOND,5,68.6
2018,ILLINOIS,17,NORTHEAST,20,BOONE,7,61.8
2018,ILLINOIS,17,WEST,30,BROWN,9,61.7
2018,ILLINOIS,17,NORTHWEST,10,BUREAU,11,70.1
2018,ILLINOIS,17,WEST SOUTHWEST,60,CALHOUN,13,60
2018,ILLINOIS,17,NORTHWEST,10,CARROLL,15,70.6
2018,ILLINOIS,17,WEST SOUTHWEST,60,CASS,17,73.6
2018,ILLINOIS,17,EAST,50,CHAMPAIGN,19,69.5
2018,ILLINOIS,17,WEST SOUTHWEST,60,CHRISTIAN,21,75.3
2018,ILLINOIS,17,EAST SOUTHEAST,70,CLARK,23,65.6
2018,ILLINOIS,17,EAST SOUTHEAST,70,CLAY,25,59.9
2018,ILLINOIS,17,SOUTHWEST,80,CLINTON,27,61.6
2018,ILLINOIS,17,EAST SOUTHEAST,70,COLES,29,76.7
2018,ILLINOIS,17,EAST SOUTHEAST,70,CRAWFORD,33,64.5
2018,ILLINOIS,17,EAST SOUTHEAST,70,CUMBERLAND,35,68.8
2018,ILLINOIS,17,NORTHEAST,20,DE KALB,37,62.6
2018,ILLINOIS,17,CENTRAL,40,DE WITT,39,76.7
2018,ILLINOIS,17,EAST SOUTHEAST,70,DOUGLAS,41,80
2018,ILLINOIS,17,EAST SOUTHEAST,70,EDGAR,45,71.2
2018,ILLINOIS,17,SOUTHEAST,90,EDWARDS,47,45.2
2018,ILLINOIS,17,EAST SOUTHEAST,70,EFFINGHAM,49,73.9
2018,ILLINOIS,17,EAST SOUTHEAST,70,FAYETTE,51,60.9
2018,ILLINOIS,17,EAST,50,FORD,53,62.1
2018,ILLINOIS,17,SOUTHEAST,90,FRANKLIN,55,48.7
2018,ILLINOIS,17,WEST,30,FULTON,57,63.9
2018,ILLINOIS,17,SOUTHEAST,90,GALLATIN,59,51.2
2018,ILLINOIS,17,WEST SOUTHWEST,60,GREENE,61,71.8
2018,ILLINOIS,17,NORTHEAST,20,GRUNDY,63,59.9
2018,ILLINOIS,17,SOUTHEAST,90,HAMILTON,65,52.5
2018,ILLINOIS,17,WEST,30,HANCOCK,67,71.5
2018,ILLINOIS,17,SOUTHEAST,90,HARDIN,69,44.6
2018,ILLINOIS,17,WEST,30,HENDERSON,71,61.6
2018,ILLINOIS,17,NORTHWEST,10,HENRY,73,64.7
2018,ILLINOIS,17,EAST,50,IROQUOIS,75,56.6
2018,ILLINOIS,17,SOUTHWEST,80,JACKSON,77,50
2018,ILLINOIS,17,EAST SOUTHEAST,70,JASPER,79,62.2
2018,ILLINOIS,17,SOUTHEAST,90,JEFFERSON,81,52.6
2018,ILLINOIS,17,NORTHEAST,20,KANE,89,60.2
2018,ILLINOIS,17,EAST,50,KANKAKEE,91,55.5
2018,ILLINOIS,17,NORTHEAST,20,KENDALL,93,62.3
2018,ILLINOIS,17,WEST,30,KNOX,95,65.6
2018,ILLINOIS,17,NORTHEAST,20,LAKE,97,42.2
2018,ILLINOIS,17,NORTHEAST,20,LA SALLE,99,68.6
2018,ILLINOIS,17,EAST SOUTHEAST,70,LAWRENCE,101,55.4
2018,ILLINOIS,17,NORTHWEST,10,LEE,103,65.3
